date_time,Dry Bulb Temperature [°C],Relative Humidity [%],Wind Speed [m/s],Wind Direction [Deg],Global Horizontal Radiation [W/m2],Direct Normal Radiation [W/m2],Diffuse Horizontal Radiation [W/m2]
2018-02-22 03:00:00,-15.963636363636365,79.28909090909089,0.0,0.0,0.0,0.0,0.0
2018-02-22 04:00:00,-16.391666666666666,81.43583333333333,0.0,0.0,0.0,0.0,0.0
2018-02-22 05:00:00,-16.47,82.61200000000002,0.0,0.0,0.0,0.0,0.0
2018-02-22 06:00:00,-14.933333333333335,81.35,0.4,36.66666666666666,0.0,0.0,0.0
2018-02-22 07:00:00,-13.1,77.91583333333334,1.3716666666666668,81.66666666666667,0.0,0.0,0.0
2018-02-22 08:00:00,-12.141666666666666,75.00583333333331,0.385,8.333333333333334,10.0,11.0,9.5
2018-02-22 09:00:00,-10.116666666666667,73.19083333333334,2.0141666666666667,86.66666666666669,59.5,1.5,59.5
2018-02-22 10:00:00,-8.315384615384612,62.78999999999999,2.810769230769231,111.53846153846152,156.5,93.0,124.0
2018-02-22 11:00:00,-6.609999999999999,56.86600000000001,2.8310000000000004,99.0,203.0,62.0,175.0
2018-02-22 12:00:00,-5.416666666666668,54.63583333333335,2.915833333333333,96.66666666666669,363.0,244.5,232.0
2018-02-22 13:00:00,-4.263636363636364,53.08363636363635,2.9490909090909088,111.8181818181818,259.0,79.5,214.0
2018-02-22 14:00:00,-3.1909090909090905,50.75090909090909,2.62,96.36363636363636,325.5,178.0,226.5
2018-02-22 15:00:00,-2.4307692307692306,51.487692307692306,2.6515384615384616,82.5,252.0,111.5,197.5
2018-02-22 16:00:00,-1.9666666666666663,49.924444444444454,3.3744444444444444,91.11111111111113,188.0,108.0,145.0
2018-02-22 17:00:00,-2.0166666666666666,48.18833333333333,3.516666666666667,75.83333333333333,105.0,61.0,88.5
2018-02-22 18:00:00,-2.12,52.659000000000006,4.218000000000001,78.0,22.5,7.0,22.0
